


Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2013-11-26,26,november,2013,19,Youth (<25),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2015-11-26,26,NoveMber,2015,19,Youth (<25),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2014-03-23,23,     March,2014,49,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1366,1035,2401
2016-03-23,23,March,2016,49,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,20,45,120,1188,900,2088
2014-05-15,15,May,2014,47,Adults (35-64),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418
2016-05-15,15,May,2016,47,Adults (35-64),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522
2014-05-22,22,May,2014,47,Adults (35-64),F,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,199,180,379
2016-05-22,22,May,2016,47,Adults (35-64),F,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,100,90,190
2014-02-22,22,February,2014,35,Adults (35-64),M,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1096,990,2086
2016-02-22,22,February,2016,35,Adults (35-64),M,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1046,945,1991
2013-07-30,30,July,2013,32,Young Adults (25-34),F,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,398,360,758
2016-02-08,8,February,2016,52,Adults (35-64),M,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,50,48,98
2014-03-16,16,March,2014,51,Adults (35-64),M,Germany,Hamburg,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9
2016-03-16,16,March,2016,51,Adults (35-64),M,Germany,Hamburg,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,8,6,14
2013-10-08,8,October,2013,51,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,16,14,30
2015-10-08,8,October,2015,51,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,21,18,39
2013-09-30,30,September,2013,43,Adults (35-64),M,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,36,30,66
2015-09-30,30,September,2015,43,Adults (35-64),M,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,34,28,62
2013-09-16,16,September,2013,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,86,58,144
2015-09-16,16,September,2015,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,31,2,5,91,62,153
2014-01-29,29,January,2014,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
2016-01-29,29,January,2016,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,6,4,10
2014-02-05,5,February,2014,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,38,26,64
2014-02-05,5,February,2014,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,89,60,149
2016-02-05,5,February,2016,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,32,22,54
2016-02-05,5,February,2016,43,Adults (35-64),M,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,83,56,139
2016-04-22,22,April,2016,55,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",4,38,50,44,152,196
2014-07-29,29,July,2014,55,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",9,38,50,99,342,441
2016-07-29,29,July,2016,55,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",8,38,50,88,304,392
2014-07-31,31,July,2014,55,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",20,38,50,220,760,980
2016-07-31,31,July,2016,55,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",17,38,50,187,646,833
2013-09-01,1,September,2013,51,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",7,38,50,35,266,301
2015-09-01,1,September,2015,51,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",9,38,50,45,342,387
2014-02-07,7,February,2014,49,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",2,38,50,10,76,86
